song_no,song_name,song_label,song_feature
41,Outbreak,172.265625,"[-0.35137012441138415, 0.7463953113635103, 1.3987301979630955, 0.8666243172985572, 1.1317746351428661, 1.672447008774926, 0.9502432372639074, -1.2115692269780982, -0.1975972406927562, -0.20028297607981763, -1.0052444647493606, 0.44385774235503456, -0.2965304937696092, -0.3559019467003858, 0.330140970336919, -0.4972706218685089, -0.7028775415034477, 0.3477506304361858, -0.36178244748995714, 1.0944708099811804, 0.18419435893709363, 0.19770912812362793, -0.09391133150231476, 0.0678693287140399, 0.6583451790315181, 0.1750367201125087]"
42,Own It (feat,135.99917763157896,"[1.8570201340477244, 1.3454537047275679, 0.6233998228151136, 0.9913813149705623, 0.9906637145126522, 0.04232142770830476, 0.9719712973104288, -0.5241012534900737, 0.31918795838157477, -0.27013465596742653, 0.868917364750016, 0.5333968819592064, -0.5261226781911291, 0.49041410198541885, -0.34035258078644204, 1.3068060181534518, 1.1794328220266581, 0.8417379279594206, 0.7391690756538148, 1.2584908691280632, 1.4024036622337694, 1.1337547645839563, 1.1033150908857488, 1.1140775234895846, 0.24551848829298786, 0.5716473103540041]"
43,Para Para 樱之花,151.99908088235293,"[2.008530541803356, 1.1225055286566874, 1.5804494850713209, 1.4862828096817473, 1.5880517794257698, 1.1759612528666026, 0.8670142789708059, -1.5462634291896051, 1.353549889530542, 0.7257210384450327, 0.4960278503585481, 1.3703431195986824, 1.018128388003031, 1.4359613515172915, 0.5517326712796446, 1.6998046538152136, 0.44119571858327833, 0.46392716663221395, 0.9033501786265627, 0.8085772498585825, 0.18908017882002573, 0.6581595286316203, 0.3343931779519567, 1.1404130483026733, 1.275431017446498, 1.6031257686712996]"
44,Ponponpon guitar,95.703125,"[-1.7283174611653034, -0.8753193239449727, -0.8740523736664241, -0.5017758068299616, -0.9693037509593969, -0.8155144366201377, -0.7379787968866605, 0.6045233908738237, 0.23617926852719834, 0.23481769613418785, -0.27906579794617614, -0.9778971835081717, 1.1441225453858925, -1.9785518409616316, -0.8849734030356375, -1.0377332239278556, -2.3898663095990478, -2.0673134977941343, -1.268094277189476, -1.9970174284612248, 0.5179000603676321, -2.022139973512581, -1.363143163597912, -0.8717856444473874, -0.4642154236876824, -1.0567176665437572]"
45,POP／STARS,172.265625,"[0.779205643508659, 1.6209145697890845, 0.6771354089040715, 0.8969296966449177, 0.924015774378657, 0.040458271240203486, 0.997153372366674, -0.7550234190524105, -0.7068961424446019, -1.4924508868003379, -0.38610418998802726, 0.3155734641453076, 0.6014128591168012, -0.20655020261757379, 0.6024445762395758, 1.3818724447047, 0.5151225317786552, 0.8356454821746677, 0.8947806326577045, 1.4089457625918762, -0.4834689434257627, 0.3233717255114409, 0.9991326448373031, 1.5579596645127651, 1.5325582177402461, -0.02850829988212546]"
46,Prayer X,86.1328125,"[0.3812087734591266, 0.0777457207341924, -0.33030323887933477, -0.3629272596156256, -0.3633031925858706, -0.13775718921775895, 0.6160968540980025, 0.3119843424145255, -1.0244280756135633, 0.8896234125871375, 0.06848729034515175, -0.16260718706296415, -0.36241865107371746, 0.04420484750883806, -0.32157597991014697, -0.13780758502549517, -0.09321601670089048, 0.09354817261946072, -0.10254113306583043, 0.2326159943895672, 0.2081190982111928, 0.6572314771349402, 0.08628692909076312, -0.3956973247492335, -0.5833820873049131, -0.27098050456152206]"
47,RISE,89.10290948275862,"[1.4796604992284503, 0.6733522368917998, 0.9114513732447984, 0.9724222428944576, 1.030185490058752, 0.4274154203865444, 0.9165065706109051, -0.8471131134248828, -0.015253259487772272, 0.1978047145086573, 0.29268078274588394, 0.9954258805585819, 0.2295431337057047, 0.8858280317846451, 0.516396786040523, 0.5011487539967753, 0.6126863212661707, 0.5645409019311876, 0.43274675966697285, 0.9449836053624737, 0.4920209191723007, 0.45332648961246286, 0.3626586568904163, 0.11282360077615872, 0.20058458529742476, 0.18691200861216917]"
48,RPM,129.19921875,"[2.384627829693521, -0.3723119598188227, 1.7687843251062088, 2.071851512385204, 1.9314382733170663, -0.0628787484783935, -0.21662053059763134, -1.975321390080237, 1.2722233311336348, 0.14369461406379988, 1.75663515502766, 2.4381987135299386, 2.360765994046304, 1.7785249897057696, 1.9982574736500343, 1.1104312088043644, 1.321060863999018, 1.125631998295497, 1.055877988146757, 1.0590535871085687, 0.9288133926994008, 1.087107514352282, 1.4921600388671308, 1.4599480244379108, 1.0490789438494654, 0.5424796929884498]"
49,Seve - Radio Edit,123.046875,"[0.4304525759239948, 0.6875082013977312, -1.505522102287209, -1.4436010792442577, -1.4360626187648577, -1.5190491354013087, -0.17327479974847884, 1.5706728152354827, -0.16514720113922096, 1.6665126823529175, 1.1594692663255979, -0.44484218041552764, 0.07533429472989987, 0.29157545544082986, 0.22927857520233488, 0.6312709512227054, 0.7684190944443683, 1.275317073639534, 0.4355190716277414, -1.0199304182494797, 0.07692562405575225, 0.6122771748534126, 0.6712294141975965, 0.1768212991422793, 0.7957769242840856, 1.0344083286705579]"
50,Señorita,117.45383522727273,"[0.609104077425968, 1.2341192649608825, 0.27447386840529214, 0.8318951934421793, 0.5806260906749674, -0.734626180200128, 0.38597924646526194, -0.5606299780775207, 0.7738262064604097, 0.3590882370996857, 2.0236938025169127, 1.071008033466918, 0.10229805374256679, 0.4632988634336532, 1.4979972117418343, 1.3800955501462282, 0.060459147004919535, 1.3917479202355678, 0.5984299348694764, 1.3837029648182186, 0.8788995931429999, 0.5781417555179675, -0.028821953211715764, 0.44328554716992, -0.15946833268612684, 0.42099124133770444]"
